Property Combination,Num Dimensions,D1.Type,D1.Cardinality,D1.Textlength,D2.Type,D2.Cardinality,D2.Textlength,Expected Output,Current Output
1D 1M,1,Normal,High,Short,,,,Bar,
1D 2M,1,Normal,High,Short,,,,Scatter,
1D 2M,1,Normal,High,Short,,,,Scatter,
1D 3M,1,Normal,High,Short,,,,Scatter,
1D 3M,1,Normal,High,Short,,,,Scatter,
2D 1M,2,Normal,High,Short,Normal,High,Short,Stacked Bar,
2D 1M,2,Normal,High,Short,Normal,Low,Short,Stacked Bar,
2D 1M,2,Normal,High,Short,Normal,Medium,Short,Stacked Bar,
2D 2M,2,Normal,High,Short,Normal,High,Short,Scatter,
2D 2M,2,Normal,High,Short,Normal,Low,Short,Scatter,
2D 2M,2,Normal,High,Short,Normal,Medium,Short,Scatter,
1D 1M,1,Trend,High,Short,,,,Line,
1D 1M,1,Trend,Low,Short,,,,Line,
1D 2M,1,Trend,High,Short,,,,Line,
1D 2M,1,Trend,Low,Short,,,,Scatter,
2D 1M,2,Trend,Low,Short,Geo,Low,Short,Map,
2D 1M,2,Trend,High,Short,Geo,Low,Short,Line,
2D 1M,2,Trend,High,Short,Geo,High,Short,Line,
2D 1M,2,Trend,Low,Short,Geo,High,Short,Map,
2D 1M,2,Trend,Low,Short,Normal,High,Short,Stacked Bar,
2D 1M,2,Trend,Low,Short,Normal,Low,Short,Line,
2D 1M,2,Trend,High,Short,Normal,High,Short,Line,
2D 1M,2,Trend,High,Short,Normal,Low,Short,Line,
